Student_ID,Year,Semester,Attendance_Percent,Projects_Completed,Certifications,Programming_Curriculum,Programming_Industry,Programming_Gap,Database_Curriculum,Database_Industry,Database_Gap,Cloud_Curriculum,Cloud_Industry,Cloud_Gap,DataAnalysis_Curriculum,DataAnalysis_Industry,DataAnalysis_Gap,ProblemSolving_Curriculum,ProblemSolving_Industry,ProblemSolving_Gap,Communication_Curriculum,Communication_Industry,Communication_Gap,Teamwork_Curriculum,Teamwork_Industry,Teamwork_Gap,Aptitude_Curriculum,Aptitude_Industry,Aptitude_Gap,Overall_Gap_Score,Skill_Gap_Category,Priority_Training_Area,Employability_Readiness
CSE26035,4,8,74.1,4,0,6.9,8.2,1.3,8.3,7.4,-0.9,7.7,6.2,-1.5,6.7,7.2,0.5,7.6,8.4,0.8,7.6,7.0,-0.6,7.5,7.1,-0.4,6.2,7.2,1.0,0.02,Low,Programming,10.0
CSE26167,4,8,73.0,3,0,5.1,8.6,3.5,7.0,7.2,0.2,6.1,6.6,0.5,5.7,6.5,0.8,6.8,7.3,0.5,5.3,7.4,2.1,6.3,7.5,1.2,6.9,7.4,0.5,1.16,Medium,Programming,9.22
CSE26133,4,8,76.5,6,2,6.9,7.6,0.7,7.8,7.1,-0.7,6.3,7.0,0.7,6.6,6.9,0.3,8.2,7.8,-0.4,7.8,7.1,-0.7,8.2,7.5,-0.7,7.5,8.3,0.8,0.0,Low,Aptitude,10.0
CSE26168,4,8,75.0,1,1,6.2,8.2,2.0,5.4,7.2,1.8,6.3,6.8,0.5,6.3,6.7,0.4,6.5,8.2,1.7,6.3,7.7,1.4,7.8,6.8,-1.0,8.7,7.3,-1.4,0.68,Low,Programming,10.0
CSE26052,3,6,91.6,1,1,9.1,7.3,-1.8,6.9,8.1,1.2,7.5,6.7,-0.8,8.9,7.3,-1.6,8.7,8.8,0.1,7.4,6.9,-0.5,8.1,7.1,-1.0,7.9,6.9,-1.0,-0.68,Low,Databases,10.0
CSE26172,3,5,72.3,1,1,6.2,8.6,2.4,6.3,7.1,0.8,6.8,6.4,-0.4,6.0,7.1,1.1,6.0,8.4,2.4,8.3,6.8,-1.5,8.3,6.8,-1.5,6.8,7.8,1.0,0.54,Low,Programming,9.95
CSE26064,3,5,75.8,4,1,5.8,8.2,2.4,7.1,7.5,0.4,5.2,6.9,1.7,5.9,7.6,1.7,6.2,8.1,1.9,6.7,5.9,-0.8,7.3,7.2,-0.1,7.1,7.8,0.7,0.99,Medium,Programming,8.7
CSE26069,4,7,79.8,3,2,7.8,7.9,0.1,8.7,7.1,-1.6,6.5,6.9,0.4,7.5,7.0,-0.5,8.4,8.8,0.4,7.6,6.7,-0.9,8.4,7.5,-0.9,6.6,7.6,1.0,-0.25,Low,Aptitude,10.0
CSE26001,3,5,75.0,3,0,6.4,8.0,1.6,7.1,7.6,0.5,4.6,7.0,2.4,6.9,7.6,0.7,7.2,7.1,-0.1,5.7,6.8,1.1,7.5,7.1,-0.4,6.8,7.4,0.6,0.8,Medium,Cloud Computing,9.0
CSE26030,4,8,71.0,5,2,5.8,8.5,2.7,6.3,7.4,1.1,6.1,6.3,0.2,6.6,7.0,0.4,7.6,8.3,0.7,6.8,7.4,0.6,8.1,7.2,-0.9,7.4,7.8,0.4,0.65,Low,Programming,9.13
